"unique_id","repo","stars","source_csv"
"0","qgis/QGIS","13883","repos.csv scorecard.csv"
"1","TangSY/echarts-map-demo","2116","repos.csv"
"2","joewdavies/geoblender","1829","repos.csv scorecard.csv"
"3","opengisch/QField","1261","repos.csv scorecard.csv"
"4","giswqs/qgis-earthengine-examples","984","repos.csv scorecard.csv"
"5","jjsantos01/qgis_mcp","971","repos.csv scorecard.csv"
"6","qgis2web/qgis2web","698","repos.csv scorecard.csv"
"7","qgis/QGIS-Documentation","599","repos.csv scorecard.csv"
"8","maptiler/tileserver-php","592","repos.csv"
"9","minorua/Qgis2threejs","586","repos.csv scorecard.csv"
"10","gee-community/qgis-earthengine-plugin","509","repos.csv scorecard.csv"
"11","lovebetterworld/gis-spicy-hot-pot","462","repos.csv"
"12","coolzhao/Geo-SAM","408","repos.csv scorecard.csv"
"13","MerginMaps/mobile","377","repos.csv"
"14","opengeos/GeoAgent","366","repos.csv scorecard.csv"
"15","qgis/qwc2","362","repos.csv scorecard.csv"
"16","opengeos/qgis-gee-data-catalogs-plugin","350","repos.csv scorecard.csv"
"17","3liz/lizmap-web-client","328","repos.csv scorecard.csv"
"18","NationalSecurityAgency/qgis-latlontools-plugin","326","repos.csv scorecard.csv"
"19","anitagraser/QGIS-resources","300","repos.csv scorecard.csv"
"20","kartoza/docker-osm","299","repos.csv"
"21","inasafe/inasafe","279","repos.csv scorecard.csv"
"22","nextgis/nextgisweb","254","repos.csv"
"23","QuickOSM/QuickOSM","250","repos.csv scorecard.csv"
"24","geographyclub/qgis-expressions","245","repos.csv scorecard.csv"
"25","r-spatial/qgisprocess","221","repos.csv scorecard.csv"
"26","qgis/qgis-js","215","repos.csv scorecard.csv"
"27","ghtmtt/DataPlotly","207","repos.csv scorecard.csv"
"28","nextgis/quickmapservices","190","repos.csv scorecard.csv"
"29","tjukanovt/qgis_styles","189","repos.csv scorecard.csv"
"30","r-spatial/RQGIS","186","repos.csv scorecard.csv"
"31","PUTvision/qgis-plugin-deepness","186","repos.csv scorecard.csv"
"32","GIS4WRF/gis4wrf","185","repos.csv scorecard.csv"
"33","sourcepole/qgis-openlayers-plugin","185","repos.csv scorecard.csv"
"34","gis-ops/tutorials","184","repos.csv scorecard.csv"
"35","anitagraser/TimeManager","183","repos.csv scorecard.csv"
"36","opengeos/qgis-basemaps","182","repos.csv scorecard.csv"
"37","roam-qgis/Roam","180","repos.csv scorecard.csv"
"38","jagodki/Offline-MapMatching","173","repos.csv"
"39","All4Gis/QGISFMV","170","repos.csv"
"40","NationalSecurityAgency/qgis-shapetools-plugin","167","repos.csv scorecard.csv"
"41","charleyglynn/OSM-Shapefile-QGIS-stylesheets","164","repos.csv scorecard.csv"
"42","geometalab/Vector-Tiles-Reader-QGIS-Plugin","153","repos.csv scorecard.csv"
"43","SpaceGroupUCL/qgisSpaceSyntaxToolkit","143","repos.csv scorecard.csv"
"44","webgeodatavore/pyqgis-samples","131","scorecard.csv"
"45","ucdavisdatalab/Intro-to-Desktop-GIS-with-QGIS","129","scorecard.csv"
"46","volaya/qgis-python-course","128","scorecard.csv"
"47","nkarasiak/qgis-mcp","125","scorecard.csv"
"48","afrigeri/geologic-symbols-qgis","120","scorecard.csv"
"49","GIScience/orstools-qgis-plugin","116","scorecard.csv"
"50","opengeos/qgis-samgeo-plugin","116","scorecard.csv"
"51","wonder-sk/qgis-minimal-plugin","116","scorecard.csv"
"52","qgis/QGIS-Code-Examples","109","scorecard.csv"
"53","opengeos/qgis-notebook-plugin","104","scorecard.csv"
"54","qgis/QGIS-Processing","103","repos.csv scorecard.csv"
"55","jonah-sullivan/Qgis-Plugin-Builder","93","scorecard.csv"
"56","anitagraser/QGIS-Processing-tools","90","repos.csv scorecard.csv"
"57","All4Gis/QGIS-cheat-sheet","86","scorecard.csv"
"58","zoran-cuckovic/QGIS-terrain-shading","83","scorecard.csv"
"59","stac-utils/qgis-stac-plugin","83","scorecard.csv"
"60","opengeos/qgis-timelapse-plugin","80","scorecard.csv"
"61","opengeos/qgis-maxar-plugin","80","scorecard.csv"
"62","yannos/Beautiful_OSM_in_QGIS","79","scorecard.csv"
"63","deepbands/buildseg","75","scorecard.csv"
"64","cholmes/qgis_plugin_gpq_downloader","73","scorecard.csv"
"65","opengis-ch/qgis-plugin-ci","67","scorecard.csv"
"66","luolingchun/PyQGIS-Developer-Cookbook-cn","66","scorecard.csv"
"67","movingpandas/qgis-trajectools","66","repos.csv scorecard.csv"
"68","MahdiFarnaghi/intelli_geo","61","scorecard.csv"
"69","MerginMaps/qgis-plugin","42","scorecard.csv"
"70","geometalab/GeoPythonConf2018-QGIS-Processing-Workshop","32","repos.csv"
